,SMILES,hit_inh,hit_kill
171,O1[n+]2ccccc2S[Zn]11O[n+]2ccccc2S1,1,0
172,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(O)=O)C1Cc2ccccc2C1,0,0
173,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O |t:12|,0,0
174,"[O-][N+](=O)c1ccccc1S(=O)(=O)NC[C@H]1CC[C@H](CNC[C@H]2CCc3ccccc3C2)CC1 |a:14,17,&1:21|",0,0
175,CCCCNc1ncc2c(cn([C@H]3CC[C@H](O)CC3)c2n1)-c1ccc(CN2CCN(C)CC2)cc1 |r|,0,0
176,Cc1cnc(cn1)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,0,0
177,COc1ccc(CNC(=O)Nc2ncc(s2)[N+]([O-])=O)cc1,0,0
178,Cc1c(Cl)cccc1Nc1ncccc1C(O)=O,0,0
179,CN(C)CCCOc1ccc(cn1)-c1ccc2ncc3n(C)c(=O)n(C4CCOCC4)c3c2c1,0,0
180,NS(=O)(=O)c1nn2cc(nc2s1)-c1ccccc1,0,0
181,CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C,0,0
182,Cn1nccc1-c1ccc(Sc2cccc(c2)C2(CCOCC2)C(N)=O)cc1,0,0
183,OCCc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,0,0
184,COC(=O)Nc1nc2ccc(SC(C)C)cc2[nH]1,0,0
185,Cc1cc(ccn1)-c1ccc(CC(=O)Nc2ccc(cc2)-c2cccnc2)cc1,0,0
186,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,0,0
187,Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F,0,0
188,"CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C |a:5,24,26,&1:7|",0,0
189,CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c12 |&1:19|,1,0
190,CC[C@]1(CCCCN(C)C1)c1cccc(O)c1 |&1:2|,0,0
191,"Oc1ccc(O[C@H]2CCCCO2)cc1 |&1:6,r|",0,0
192,OC(=O)c1ccccc1C(=O)Nc1ccc(cc1)-c1ccccc1,0,0
193,C[N+](C)(C)CCCCCC[N+](C)(C)C,0,0
194,N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,0,0
195,CCc1nc2c(C)nc(C)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,0,0
196,"O[C@@H](CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N |&1:1,r|",0,0
197,CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,0,0
198,CC(C)NC(=O)N1CC[C@@H](C1)NC1=Nc2cc(F)ccc2N(CC(F)F)c2ccc(Cl)cc12 |t:13|,0,0
199,COc1cc(ccc1O)[C@H]1Oc2cc(ccc2O[C@@H]1CO)[C@H]1Oc2cc(O)cc(O)c2C(=O)[C@@H]1O,0,0
200,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,0,0
201,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1,0
202,Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C,0,0
203,COc1cc(cc(OC)c1OC)C(=O)OCc1cccc(COC(=O)c2cc(OC)c(OC)c(OC)c2)n1,0,0
204,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O,0,0
205,"C[C@@H](O)CO |&1:1,r|",0,0
206,Cc1nc(C#Cc2ccnc(Cl)c2)c(C)n1-c1ccc(OC(F)(F)F)cc1,0,0
207,COc1ccccc1C1(O)CCN(CCCn2c3ccccc3c3ccccc23)CC1,0,0
208,"C[C@@H](Oc1ccccc1)C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O |a:12,13,18,&1:1|",0,0
209,Cc1c(cnn1-c1nc(cs1)-c1cccc(c1)C(F)(F)F)C(=O)NCCCO,0,0
210,C[C@@H]1C(=O)O[C@H]2C[C@@]34[C@H]5C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@H]3O[C@@]4(C(=O)O5)[C@@]12O,0,0
211,"O[C@@H](CN1CCC(Cc2ccc(F)cc2)CC1)c1ccc(Cl)cc1 |&1:1,r|",0,0
212,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(Cl)[C@@H]1O)Oc1ccccc1,0,0
213,OC(=O)c1cc(ccc1O)\N=N\c1ccc(O)c(c1)C(O)=O,0,0
